AssetID,Category,Subcategory,Name,FunctionOrUse,LinkedRole,PriorityTier,SourceFile,SourceSection,Batch,Status,Owner,Notes
CST-PT1,Costume,Player,Apprentice Mentor,"Main player teaching progression",,B,Documents/Mooseville_Costume_Creation_Catalog.md,Main Player Costume Variations,2,Planned,,Male+Female variants required
CST-PT2,Costume,Player,Foremoose Instructor,"Main player teaching progression",,C,Documents/Mooseville_Costume_Creation_Catalog.md,Main Player Costume Variations,4,Planned,,Male+Female variants required
CST-PT3,Costume,Player,High Steward Tutor,"Main player teaching progression",,D,Documents/Mooseville_Costume_Creation_Catalog.md,Main Player Costume Variations,4,Planned,,Male+Female variants required
CST-PQ1,Costume,Player,Scout Runner,"Main player questing progression",,A,Documents/Mooseville_Costume_Creation_Catalog.md,Main Player Costume Variations,1,Planned,,Male+Female variants required
CST-PQ2,Costume,Player,Valley Ranger,"Main player questing progression",,B,Documents/Mooseville_Costume_Creation_Catalog.md,Main Player Costume Variations,4,Planned,,Male+Female variants required
CST-PQ3,Costume,Player,Campaign Commander,"Main player questing progression",,C,Documents/Mooseville_Costume_Creation_Catalog.md,Main Player Costume Variations,4,Planned,,Male+Female variants required
ACC-U01,Prop,Accessory,Universal Accessory Set,"Belts, satchels, mantles, wraps, badges, clasps",,A,Documents/Mooseville_Prop_Accessory_Catalog.md,Universal Character Accessory Set,1,Planned,,Includes base attach points
PRP-R01,Prop,RoleKit,Grower Kit,"Wearables, hand tools, grow station props",Grower,A,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,1,Planned,,
PRP-R02,Prop,RoleKit,Builder Kit,"Rigging, hand tools, framing station props",Builder,A,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,1,Planned,,
PRP-R03,Prop,RoleKit,Groomer Kit,"Shine tools and service station props",Groomer,C,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,3,Planned,,
PRP-R04,Prop,RoleKit,Barber-Stylist Kit,"Grooming tools and style station props",Barber-Stylist,C,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,3,Planned,,
PRP-R05,Prop,RoleKit,Tailor-Weaver Kit,"Loom tools and cloth station props",Tailor-Weaver,B,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,3,Planned,,
PRP-R06,Prop,RoleKit,Baker Kit,"Baking tools and pastry station props",Baker,B,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,3,Planned,,
PRP-R07,Prop,RoleKit,Trader Kit,"Ledger tools and market station props",Trader,B,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,2,Planned,,
PRP-R08,Prop,RoleKit,Treasurer Kit,"Stamp tools and treasury station props",Treasurer,B,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,2,Planned,,
PRP-R09,Prop,RoleKit,Outfitter-Toolwright Kit,"Expedition and repair tools",Outfitter-Toolwright,B,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,2,Planned,,
PRP-R10,Prop,RoleKit,Archivist-Mapkeeper Kit,"Map and document tools",Archivist-Mapkeeper,B,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,2,Planned,,
PRP-R11,Prop,RoleKit,Herbalist-Caregiver Kit,"Remedy tools and care props",Herbalist-Caregiver,C,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,3,Planned,,
PRP-R12,Prop,RoleKit,Water Keeper Kit,"Purity and distribution tools",Water Keeper,A,Documents/Mooseville_Prop_Accessory_Catalog.md,Role Accessory Kits,1,Planned,,
PRP-P01,Prop,PlayerSet,Farming Set,"Main player farming accessory set",,A,Documents/Mooseville_Prop_Accessory_Catalog.md,Main Player Signature Accessory Sets,1,Planned,,
PRP-P02,Prop,PlayerSet,Teaching Set,"Main player teaching accessory set",,B,Documents/Mooseville_Prop_Accessory_Catalog.md,Main Player Signature Accessory Sets,2,Planned,,
PRP-P03,Prop,PlayerSet,Questing Set,"Main player questing accessory set",,A,Documents/Mooseville_Prop_Accessory_Catalog.md,Main Player Signature Accessory Sets,1,Planned,,
ENV-BIZ-01,Prop,EnvPack,Business Front Prop Packs,"Exterior and interior props per business",,B,Documents/Mooseville_Prop_Accessory_Catalog.md,Business Front Prop Packs,3,Planned,,12 building-specific packs
ENV-INF-01,Prop,EnvPack,Core Infrastructure Prop Packs,"Function-critical town systems",,A,Documents/Mooseville_Prop_Accessory_Catalog.md,Core Infrastructure Prop Packs,1,Planned,,12 infrastructure-specific packs
ENV-FST-01,Prop,EnvPack,Festival and Quest Reward Props,"Seasonal and milestone reward objects",,C,Documents/Mooseville_Prop_Accessory_Catalog.md,Festival and Quest Reward Props,4,Planned,,
RSC-01,Resource,Raw,Trees,"Timber source",,A,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,1,Planned,,Feeds logs
RSC-02,Resource,Refined,Logs,"From trees",,A,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,1,Planned,,Feeds boards/beams
RSC-03,Resource,Advanced,Boards,"From logs by hand or mill",,A,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,1,Planned,,Construction critical
RSC-04,Resource,Raw,Rock,"Masonry source",,A,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,2,Planned,,Feeds stone blocks
RSC-05,Resource,Refined,Stone Blocks,"From rock",,A,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,2,Planned,,Foundations and roads
RSC-06,Resource,Raw,Clay,"Ceramic source",,B,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,2,Planned,,Feeds bricks
RSC-07,Resource,Refined,Bricks,"From clay via kiln",,B,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,2,Planned,,Masonry growth
RSC-08,Resource,Raw,Iron Ore,"Metal source",,B,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,2,Planned,,Feeds iron bars
RSC-09,Resource,Refined,Iron Bars,"From iron ore via smelter",,B,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,2,Planned,,Feeds nails/tools
RSC-10,Resource,Advanced,Nails,"From iron bars via forge",,B,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,2,Planned,,Construction fasteners
RSC-11,Resource,Raw,Flax,"Fiber source",,B,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,3,Planned,,Feeds thread
RSC-12,Resource,Refined,Thread,"From flax",,B,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,3,Planned,,Feeds cloth
RSC-13,Resource,Advanced,Cloth Bolt,"From thread",,B,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,3,Planned,,Costumes and textiles
RSC-14,Resource,Raw,Pine Sap,"Resin source",,C,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,3,Planned,,Feeds pitch
RSC-15,Resource,Refined,Pitch,"From sap",,C,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,3,Planned,,Sealant and waterproofing
RSC-16,Resource,Raw,Silica Sand,"Glass source",,C,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,3,Planned,,Feeds panes
RSC-17,Resource,Refined,Glass Panes,"From sand and fuel",,C,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,3,Planned,,Feeds vials/lenses
RSC-18,Resource,Advanced,Vials,"From glass panes",,A,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,1,Planned,,Moose Water system
RSC-19,Resource,Raw,Limestone,"Lime source",,C,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,3,Planned,,Feeds quicklime
RSC-20,Resource,Refined,Quicklime,"From limestone",,C,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,3,Planned,,Feeds mortar
RSC-21,Resource,Advanced,Mortar,"From quicklime sand water",,C,Documents/Mooseville_Game_Design_Companion.md,Construction Resource Economy,3,Planned,,Masonry bonding
